,nature,type,id,description,cwe_counts,cwe_id
1,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,4,502
2,MemberOf,category,399,Resource Management Errors,4,502
3,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,4,502
4,MemberOf,category,1019,Validate Inputs,4,502
5,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),4,502
6,MemberOf,view,884,CWE Cross-section,4,502
7,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,4,502
8,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,4,502
9,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),4,502
10,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,4,502
11,MemberOf,category,1308,CISQ Quality Measures - Security,4,502
12,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,4,502
13,MemberOf,view,1340,CISQ Data Protection Measures,4,502
14,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,4,502
15,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,4,502
16,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,4,502
17,MemberOf,category,1415,Comprehensive Categorization: Resource Control,4,502
18,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,4,502
19,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,4,502
20,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,4,502
21,MemberOf,category,1443,OWASP Top Ten 2025 Category A08:2025 - Software or Data Integrity Failures,4,502
22,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,4,502
23,Self,base,502,,4,502
0,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,1,89
1,ParentOf,variant,564,SQL Injection: Hibernate,1,89
2,CanFollow,variant,456,Missing Initialization of a Variable,1,89
3,MemberOf,category,137,Data Neutralization Issues,1,89
4,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),1,89
5,MemberOf,category,1019,Validate Inputs,1,89
6,ParentOf,variant,564,SQL Injection: Hibernate,1,89
7,ParentOf,variant,564,SQL Injection: Hibernate,1,89
8,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,1,89
9,MemberOf,category,713,OWASP Top Ten 2007 Category A2 - Injection Flaws,1,89
10,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,1,89
11,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,1,89
12,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,1,89
13,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,1,89
14,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,1,89
15,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,1,89
16,MemberOf,view,884,CWE Cross-section,1,89
17,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,1,89
18,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,1,89
19,MemberOf,category,1005,7PK - Input Validation and Representation,1,89
20,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,1,89
21,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,1,89
22,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,89
23,MemberOf,category,1308,CISQ Quality Measures - Security,1,89
24,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,89
25,MemberOf,view,1340,CISQ Data Protection Measures,1,89
26,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,1,89
27,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,89
28,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,89
29,MemberOf,category,1409,Comprehensive Categorization: Injection,1,89
30,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,89
31,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,89
32,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,89
33,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,1,89
34,Self,base,89,,1,89
0,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,1,89
1,ParentOf,variant,564,SQL Injection: Hibernate,1,89
2,CanFollow,variant,456,Missing Initialization of a Variable,1,89
3,MemberOf,category,137,Data Neutralization Issues,1,89
4,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),1,89
5,MemberOf,category,1019,Validate Inputs,1,89
6,ParentOf,variant,564,SQL Injection: Hibernate,1,89
7,ParentOf,variant,564,SQL Injection: Hibernate,1,89
8,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,1,89
9,MemberOf,category,713,OWASP Top Ten 2007 Category A2 - Injection Flaws,1,89
10,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,1,89
11,MemberOf,category,727,OWASP Top Ten 2004 Category A6 - Injection Flaws,1,89
12,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,1,89
13,MemberOf,category,801,2010 Top 25 - Insecure Interaction Between Components,1,89
14,MemberOf,category,810,OWASP Top Ten 2010 Category A1 - Injection,1,89
15,MemberOf,category,864,2011 Top 25 - Insecure Interaction Between Components,1,89
16,MemberOf,view,884,CWE Cross-section,1,89
17,MemberOf,category,929,OWASP Top Ten 2013 Category A1 - Injection,1,89
18,MemberOf,category,990,SFP Secondary Cluster: Tainted Input to Command,1,89
19,MemberOf,category,1005,7PK - Input Validation and Representation,1,89
20,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,1,89
21,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,1,89
22,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,89
23,MemberOf,category,1308,CISQ Quality Measures - Security,1,89
24,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,89
25,MemberOf,view,1340,CISQ Data Protection Measures,1,89
26,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,1,89
27,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,89
28,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,89
29,MemberOf,category,1409,Comprehensive Categorization: Injection,1,89
30,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,89
31,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,89
32,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,89
33,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,1,89
34,Self,base,89,,1,89
0,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,6,502
1,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,6,502
2,MemberOf,category,399,Resource Management Errors,6,502
3,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,6,502
4,MemberOf,category,1019,Validate Inputs,6,502
5,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),6,502
6,MemberOf,view,884,CWE Cross-section,6,502
7,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,6,502
8,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,6,502
9,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),6,502
10,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,6,502
11,MemberOf,category,1308,CISQ Quality Measures - Security,6,502
12,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,6,502
13,MemberOf,view,1340,CISQ Data Protection Measures,6,502
14,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,6,502
15,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,6,502
16,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,6,502
17,MemberOf,category,1415,Comprehensive Categorization: Resource Control,6,502
18,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,6,502
19,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,6,502
20,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,6,502
21,MemberOf,category,1443,OWASP Top Ten 2025 Category A08:2025 - Software or Data Integrity Failures,6,502
22,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,6,502
23,Self,base,502,,6,502
0,ChildOf,pillar,707,Improper Neutralization,5,20
1,ParentOf,base,179,Incorrect Behavior Order: Early Validation,5,20
2,ParentOf,variant,622,Improper Validation of Function Hook Arguments,5,20
3,ParentOf,base,1173,Improper Use of Validation Framework,5,20
4,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,5,20
5,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",5,20
6,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,5,20
7,ParentOf,base,1287,Improper Validation of Specified Type of Input,5,20
8,ParentOf,base,1288,Improper Validation of Consistency within Input,5,20
9,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,5,20
10,PeerOf,class,345,Insufficient Verification of Data Authenticity,5,20
11,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),5,20
12,CanPrecede,base,41,Improper Resolution of Path Equivalence,5,20
13,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),5,20
14,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,5,20
15,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,5,20
16,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,5,20
17,ParentOf,variant,129,Improper Validation of Array Index,5,20
18,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,5,20
19,MemberOf,category,1019,Validate Inputs,5,20
20,ParentOf,base,15,External Control of System or Configuration Setting,5,20
21,ParentOf,base,73,External Control of File Name or Path,5,20
22,ParentOf,variant,102,Struts: Duplicate Validation Forms,5,20
23,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,5,20
24,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,5,20
25,ParentOf,variant,105,Struts: Form Field Without Validator,5,20
26,ParentOf,variant,106,Struts: Plug-in Framework not in Use,5,20
27,ParentOf,variant,107,Struts: Unused Validation Form,5,20
28,ParentOf,variant,108,Struts: Unvalidated Action Form,5,20
29,ParentOf,variant,109,Struts: Validator Turned Off,5,20
30,ParentOf,variant,110,Struts: Validator Without Form Field,5,20
31,ParentOf,variant,111,Direct Use of Unsafe JNI,5,20
32,ParentOf,base,112,Missing XML Validation,5,20
33,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),5,20
34,ParentOf,class,114,Process Control,5,20
35,ParentOf,base,117,Improper Output Neutralization for Logs,5,20
36,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,5,20
37,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),5,20
38,ParentOf,base,134,Use of Externally-Controlled Format String,5,20
39,ParentOf,base,170,Improper Null Termination,5,20
40,ParentOf,base,190,Integer Overflow or Wraparound,5,20
41,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,5,20
42,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),5,20
43,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,5,20
44,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,5,20
45,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,5,20
46,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),5,20
47,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),5,20
48,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),5,20
49,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),5,20
50,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,5,20
51,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),5,20
52,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),5,20
53,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),5,20
54,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,5,20
55,MemberOf,category,1005,7PK - Input Validation and Representation,5,20
56,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),5,20
57,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,5,20
58,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,5,20
59,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,5,20
60,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,5,20
61,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,5,20
62,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,5,20
63,MemberOf,category,1406,Comprehensive Categorization: Improper Input Validation,5,20
64,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,5,20
65,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,5,20
66,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,5,20
67,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,5,20
68,Self,class,20,,5,20
0,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
1,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
2,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
3,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
4,ParentOf,base,123,Write-what-where Condition,1,787
5,ParentOf,base,124,Buffer Underwrite ('Buffer Underflow'),1,787
6,CanFollow,base,822,Untrusted Pointer Dereference,1,787
7,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,787
8,CanFollow,base,824,Access of Uninitialized Pointer,1,787
9,CanFollow,base,825,Expired Pointer Dereference,1,787
10,MemberOf,category,1218,Memory Buffer Errors,1,787
11,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
12,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
13,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
14,ParentOf,base,123,Write-what-where Condition,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
25,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,787
26,Self,base,787,,1,787
0,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
1,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
2,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
3,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
4,ParentOf,base,123,Write-what-where Condition,1,787
5,ParentOf,base,124,Buffer Underwrite ('Buffer Underflow'),1,787
6,CanFollow,base,822,Untrusted Pointer Dereference,1,787
7,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,787
8,CanFollow,base,824,Access of Uninitialized Pointer,1,787
9,CanFollow,base,825,Expired Pointer Dereference,1,787
10,MemberOf,category,1218,Memory Buffer Errors,1,787
11,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
12,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
13,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
14,ParentOf,base,123,Write-what-where Condition,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
25,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,787
26,Self,base,787,,1,787
0,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
1,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
2,ParentOf,variant,121,Stack-based Buffer Overflow,1,787
3,ParentOf,variant,122,Heap-based Buffer Overflow,1,787
4,ParentOf,base,123,Write-what-where Condition,1,787
5,ParentOf,base,124,Buffer Underwrite ('Buffer Underflow'),1,787
6,CanFollow,base,822,Untrusted Pointer Dereference,1,787
7,CanFollow,base,823,Use of Out-of-range Pointer Offset,1,787
8,CanFollow,base,824,Access of Uninitialized Pointer,1,787
9,CanFollow,base,825,Expired Pointer Dereference,1,787
10,MemberOf,category,1218,Memory Buffer Errors,1,787
11,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
12,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
13,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
14,ParentOf,base,123,Write-what-where Condition,1,787
15,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,787
16,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),1,787
17,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,1,787
18,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,1,787
19,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,1,787
20,MemberOf,category,1366,ICS Communications: Frail Security in Protocols,1,787
21,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,1,787
22,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,787
23,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,1,787
24,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,1,787
25,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,787
26,Self,base,787,,1,787
0,ChildOf,base,787,Out-of-bounds Write,1,120
1,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,1,120
2,CanFollow,base,170,Improper Null Termination,1,120
3,CanFollow,variant,231,Improper Handling of Extra Values,1,120
4,CanFollow,variant,416,Use After Free,1,120
5,CanFollow,variant,456,Missing Initialization of a Variable,1,120
6,CanPrecede,base,123,Write-what-where Condition,1,120
7,MemberOf,category,1218,Memory Buffer Errors,1,120
8,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1,120
9,ChildOf,base,787,Out-of-bounds Write,1,120
10,ChildOf,base,787,Out-of-bounds Write,1,120
11,ChildOf,class,20,Improper Input Validation,1,120
12,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,1,120
13,MemberOf,category,726,OWASP Top Ten 2004 Category A5 - Buffer Overflows,1,120
14,MemberOf,category,741,CERT C Secure Coding Standard (2008) Chapter 8 - Characters and Strings (STR),1,120
15,MemberOf,category,802,2010 Top 25 - Risky Resource Management,1,120
16,MemberOf,category,865,2011 Top 25 - Risky Resource Management,1,120
17,MemberOf,category,875,CERT C++ Secure Coding Section 07 - Characters and Strings (STR),1,120
18,MemberOf,view,884,CWE Cross-section,1,120
19,MemberOf,category,970,SFP Secondary Cluster: Faulty Buffer Access,1,120
20,MemberOf,category,1129,CISQ Quality Measures (2016) - Reliability,1,120
21,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,1,120
22,MemberOf,category,1161,SEI CERT C Coding Standard - Guidelines 07. Characters and Strings (STR),1,120
23,MemberOf,category,1399,Comprehensive Categorization: Memory Safety,1,120
24,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,1,120
25,Self,base,120,,1,120
0,ChildOf,pillar,710,Improper Adherence to Coding Standards,8,476
1,ChildOf,class,754,Improper Check for Unusual or Exceptional Conditions,8,476
2,CanFollow,base,252,Unchecked Return Value,8,476
3,CanFollow,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),8,476
4,CanFollow,variant,789,Memory Allocation with Excessive Size Value,8,476
5,CanFollow,base,1325,Improperly Controlled Sequential Memory Allocation,8,476
6,MemberOf,category,465,Pointer Issues,8,476
7,ChildOf,class,754,Improper Check for Unusual or Exceptional Conditions,8,476
8,MemberOf,category,398,7PK - Code Quality,8,476
9,MemberOf,category,730,OWASP Top Ten 2004 Category A9 - Denial of Service,8,476
